square,total_internet_activity,observed_intervals,coverage
4558,4109493.7118429258,8784,1.0
4753,4103362.922665271,8784,1.0
5867,4095145.4123095325,8784,1.0
5866,4070473.409737778,8784,1.0
5368,4058557.0790980402,8784,1.0
4967,4041820.647154526,8784,1.0
6345,4030840.053833125,8784,1.0
4362,4021202.67761043,8784,1.0
5268,4016719.5544106276,8784,1.0
5047,4015889.832541096,8784,1.0
6371,4015107.481309343,8784,1.0
5267,4010976.7793676686,8784,1.0
5868,4009978.2095766733,8784,1.0
5562,3988788.2166409637,8784,1.0
5269,3982142.5246173725,8784,1.0
6166,3976805.3309595976,8784,1.0
5053,3971276.3236103687,8784,1.0
6460,3961024.2498747944,8784,1.0
5962,3950790.110688518,8784,1.0
5058,3927705.046131908,8784,1.0
4461,3901791.462676846,8784,1.0
5859,3891943.8541472224,8784,1.0
6265,3890923.8537189094,8784,1.0
5860,3887753.1282484727,8784,1.0
4359,3885074.349560243,8784,1.0
5348,3857972.384852138,8784,1.0
6261,3856529.833596848,8784,1.0
4561,3845191.8752078526,8784,1.0
5468,3843879.822304182,8784,1.0
5951,3814469.2693566345,8784,1.0
5251,3810686.847143228,8784,1.0
5769,3800961.789205912,8784,1.0
5767,3790913.708701842,8784,1.0
5753,3786344.9873260558,8784,1.0
7164,3771704.1136328517,8784,1.0
4455,3760287.5450801826,8784,1.0
5073,3746931.2662322987,8784,1.0
6168,3744752.2186842854,8784,1.0
5559,3732848.2993221735,8784,1.0
4661,3729431.6918080505,8784,1.0
5960,3729029.2766030557,8784,1.0
5754,3727355.6781496666,8784,1.0
5670,3723738.168728859,8784,1.0
6050,3721203.9840006838,8784,1.0
4156,3719546.8180561364,8784,1.0
5969,3681737.6043997644,8784,1.0
6374,3662796.927666206,8784,1.0
4363,3659223.7590601123,8784,1.0
4652,3652112.3518071896,8784,1.0
4355,3641495.082808099,8784,1.0
4557,3634131.1769929198,8784,1.0
6151,3624766.580663678,8784,1.0
5662,3614561.9657988413,8784,1.0
5772,3612463.2131052963,8784,1.0
5770,3612357.249553989,8784,1.0
6162,3609211.288852531,8784,1.0
5953,3604357.2817829447,8784,1.0
4155,3599379.6468228074,8784,1.0
6051,3579847.42511889,8784,1.0
6375,3561538.0761578013,8784,1.0
4647,3554373.055293852,8784,1.0
5152,3530737.396904891,8784,1.0
5668,3529544.8352255467,8784,1.0
5560,3526186.1932284124,8784,1.0
5853,3523939.473580665,8784,1.0
5249,3523664.490752308,8784,1.0
6772,3518986.7423247197,8784,1.0
5952,3511219.874816237,8784,1.0
5069,3498934.900299279,8784,1.0
5270,3495661.600540243,8784,1.0
5048,3483063.148666941,8784,1.0
4972,3471754.1618965077,8784,1.0
5164,3470387.6864109593,8784,1.0
5168,3468812.6028370373,8784,1.0
5759,3465443.516071353,8784,1.0
5170,3460839.4956895276,8784,1.0
5146,3460177.8953645267,8784,1.0
4849,3456057.451722568,8784,1.0
6372,3452553.4993690713,8784,1.0
4356,3452499.8484229515,8784,1.0
4255,3441645.732717534,8784,1.0
4862,3437850.2559712664,8784,1.0
4662,3427140.261763385,8784,1.0
4658,3415987.5263241497,8784,1.0
5561,3413824.014776629,8784,1.0
5761,3402977.3236808535,8784,1.0
4547,3388553.5276447386,8784,1.0
5669,3387973.5010365006,8784,1.0
5872,3377609.013729893,8784,1.0
4160,3375346.1298361924,8784,1.0
4364,3371671.8712640754,8784,1.0
6368,3371241.5250413204,8784,1.0
5453,3369511.318750774,8784,1.0
5661,3366642.5236917417,8784,1.0
4651,3356994.8130515004,8784,1.0
4969,3324672.546101573,8784,1.0
4949,3315435.412370757,8784,1.0
5462,3313372.0265788403,8784,1.0
6149,3306492.3283572774,8784,1.0
5169,3306052.6982514495,8784,1.0
5057,3301631.767253715,8784,1.0
5449,3300717.0596749834,8784,1.0
4750,3298044.7152646827,8784,1.0
6274,3296582.6874100575,8784,1.0
4650,3291787.6283733645,8784,1.0
5970,3275059.5122138546,8784,1.0
6070,3273519.667434231,8784,1.0
6167,3259807.3126395466,8784,1.0
5070,3250485.6575559257,8784,1.0
6148,3248263.619757824,8784,1.0
5046,3242788.0703003854,8784,1.0
5363,3241584.912840046,8784,1.0
5773,3225818.35799571,8784,1.0
5459,3224827.006482264,8784,1.0
6060,3224164.6513041127,8784,1.0
5760,3218959.02247536,8784,1.0
6360,3215208.867625272,8784,1.0
6072,3203652.9279616573,8784,1.0
4751,3203012.184990219,8784,1.0
6352,3189071.5980110527,8784,1.0
6358,3169113.640878704,8784,1.0
5869,3167420.3333662855,8784,1.0
4963,3162856.5465865037,8784,1.0
5452,3160336.557590046,8784,1.0
5064,3156210.6529456177,8784,1.0
4260,3155911.9751708508,8784,1.0
6565,3151788.840193068,8784,1.0
4254,3151750.688118792,8784,1.0
6370,3149113.012271268,8784,1.0
5149,3138528.5246754126,8784,1.0
5264,3136633.025107081,8784,1.0
4545,3125218.2335652728,8784,1.0
4546,3117026.4016832053,8784,1.0
6163,3112584.1005349974,8784,1.0
4161,3109202.556685578,8784,1.0
6560,3100191.402815832,8784,1.0
4952,3095059.833856523,8784,1.0
5762,3094483.766130235,8784,1.0
7163,3091961.27077393,8784,1.0
4358,3091526.4277975573,8784,1.0
4154,3067391.737141864,8784,1.0
5172,3067035.6651443252,8784,1.0
5352,3065402.75052855,8784,1.0
5450,3059114.454128976,8784,1.0
5570,3053138.0439760317,8784,1.0
4157,3051324.874534159,8784,1.0
5054,3041370.630339767,8784,1.0
6675,3039556.073193217,8784,1.0
5870,3029746.1734496127,8784,1.0
5971,3028665.7918243743,8784,1.0
4549,3026101.4848139575,8784,1.0
4261,3017454.308498941,8784,1.0
5646,3007933.5594347916,8784,1.0
4874,3005761.8836802132,8784,1.0
4850,3002891.250594569,8784,1.0
5247,3000013.102940369,8784,1.0
5569,2995487.107350028,8784,1.0
5865,2995033.341162489,8784,1.0
4752,2992485.0309886094,8784,1.0
4357,2988927.5853052773,8784,1.0
5370,2987486.2034902666,8784,1.0
5653,2983447.78213704,8784,1.0
3757,2961818.9877167046,8784,1.0
6574,2959073.3048247336,8784,1.0
5362,2952120.6159881353,8784,1.0
5873,2944005.7239607642,8784,1.0
6251,2943616.4716134937,8784,1.0
3856,2943163.976781031,8784,1.0
4354,2941943.23197259,8784,1.0
6270,2936747.885320771,8784,1.0
5768,2934432.499947763,8784,1.0
4068,2928356.4302192843,8784,1.0
5271,2913547.2643547426,8784,1.0
3857,2907888.0801948532,8784,1.0
4446,2898871.1672939495,8784,1.0
6170,2896953.8495090795,8784,1.0
5660,2880394.569920637,8784,1.0
6267,2875869.146837859,8784,1.0
5751,2875214.861154154,8784,1.0
6049,2869743.51594174,8784,1.0
4851,2865576.735632808,8784,1.0
6672,2846457.3469453333,8784,1.0
5351,2841594.016764068,8784,1.0
5950,2838129.4655045928,8784,1.0
5744,2834019.9076778516,8784,1.0
4848,2819724.5838213195,8784,1.0
5652,2812722.671209526,8784,1.0
6073,2808443.097782874,8784,1.0
4657,2807942.176473174,8784,1.0
4847,2799736.9195038173,8784,1.0
4069,2796789.2810992054,8784,1.0
5171,2793491.301742863,8784,1.0
6671,2791768.286026853,8784,1.0
6762,2790302.9476366923,8784,1.0
6452,2788235.4546862184,8784,1.0
5852,2787371.8259779527,8784,1.0
3956,2786898.139452803,8784,1.0
6673,2785510.5524604023,8784,1.0
4168,2783537.5312145445,8784,1.0
6364,2782570.722872897,8784,1.0
5851,2781205.326868522,8784,1.0
6369,2781108.2531423164,8784,1.0
6062,2779108.658763545,8784,1.0
5745,2777188.0429302803,8784,1.0
5052,2775775.184642148,8784,1.0
5372,2762966.8428263795,8784,1.0
6159,2756910.7359542893,8784,1.0
5246,2751763.8869630443,8784,1.0
4747,2746120.2340462543,8784,1.0
5150,2742230.011642507,8784,1.0
4964,2739443.823780644,8784,1.0
6248,2735989.11866939,8784,1.0
6053,2726843.077724719,8784,1.0
4445,2714787.8106999146,8784,1.0
6351,2711341.8619808117,8784,1.0
4552,2702358.3441596488,8784,1.0
4550,2699098.0895701903,8784,1.0
4444,2696547.4519553683,8784,1.0
5071,2692430.318469068,8784,1.0
4349,2683891.6401841547,8784,1.0
5353,2679932.6946561276,8784,1.0
4649,2660509.6860936303,8784,1.0
4852,2660489.6783671477,8784,1.0
6252,2649367.4269557837,8784,1.0
4749,2648451.496194949,8784,1.0
5871,2643801.428072227,8784,1.0
5354,2641096.3517924096,8784,1.0
6249,2634379.2931432957,8784,1.0
4447,2631618.9002463035,8784,1.0
5153,2624511.7700577,8784,1.0
8169,2623157.4040928213,8784,1.0
5350,2622503.761627249,8784,1.0
4551,2615690.301695792,8784,1.0
4453,2612158.839158534,8784,1.0
5369,2605107.336877251,8784,1.0
5961,2590748.868028712,8784,1.0
6266,2590576.051361115,8784,1.0
4971,2590049.3295671865,8784,1.0
6461,2587425.1000682362,8784,1.0
6361,2567951.5717715477,8784,1.0
5756,2561844.864359018,8784,1.0
6262,2556069.674786131,8784,1.0
4060,2550933.642585012,8784,1.0
4454,2549500.833041103,8784,1.0
6359,2548069.2135616355,8784,1.0
5451,2544042.168709094,8784,1.0
5771,2542143.3727381728,8784,1.0
3756,2539035.0379182114,8784,1.0
4562,2538437.235645201,8784,1.0
5546,2533280.3042283566,8784,1.0
6057,2531199.207311674,8784,1.0
5671,2526497.073313825,8784,1.0
5469,2525541.674800939,8784,1.0
5647,2522763.4095763112,8784,1.0
4452,2521416.7397975717,8784,1.0
5049,2518550.877381958,8784,1.0
6445,2517473.166439018,8784,1.0
7064,2513596.8667519717,8784,1.0
5245,2504298.6023346363,8784,1.0
4973,2499142.9864484943,8784,1.0
5644,2497560.0207951823,8784,1.0
6471,2496025.936964051,8784,1.0
9368,2492836.7065797304,8784,1.0
6451,2492143.9968374744,8784,1.0
4544,2491468.296174544,8784,1.0
8762,2491076.2125532087,8784,1.0
4450,2490719.5006131288,8784,1.0
6250,2483173.319530428,8784,1.0
6150,2482828.4992960603,8784,1.0
6263,2478796.0313244746,8784,1.0
4846,2475988.688351654,8784,1.0
6157,2473478.786526634,8784,1.0
6665,2470562.0667167013,8784,1.0
4259,2470454.7408343353,8784,1.0
4059,2465200.385656533,8784,1.0
3957,2458618.774327953,8784,1.0
4463,2444487.906891443,8784,1.0
4258,2443506.0378956967,8784,1.0
4159,2440715.040693959,8784,1.0
3953,2422505.246261841,8784,1.0
6773,2422256.4205360264,8784,1.0
5656,2419920.09400044,8784,1.0
3962,2416437.42248376,8784,1.0
6446,2408379.5388558875,8784,1.0
4748,2404132.6662723096,8784,1.0
5547,2400769.0957935755,8784,1.0
5755,2399714.0649895216,8784,1.0
5250,2399396.0629029097,8784,1.0
5253,2399134.8458315604,8784,1.0
8675,2392363.4331130376,8784,1.0
6271,2388575.5484754676,8784,1.0
5356,2375135.6008627783,8784,1.0
5845,2369410.2571483827,8784,1.0
6557,2361052.2990930304,8784,1.0
6052,2360875.4130360507,8784,1.0
5544,2356536.7282039933,8784,1.0
5643,2352998.833630076,8784,1.0
5654,2350978.1086201933,8784,1.0
6771,2349413.416575118,8784,1.0
3955,2341885.615183501,8784,1.0
6547,2340571.9903325136,8784,1.0
4053,2339505.06079977,8784,1.0
4746,2326588.5466457843,8784,1.0
6459,2321852.319763977,8784,1.0
5067,2313878.657614414,8784,1.0
4169,2307318.4949178817,8784,1.0
5850,2305755.8324291827,8784,1.0
6872,2304671.6338760676,8784,1.0
8371,2304235.0174171096,8784,1.0
4158,2298755.449769153,8784,1.0
5571,2295849.896438745,8784,1.0
6662,2295654.3796883435,8784,1.0
7066,2292937.978958068,8784,1.0
6873,2287171.015097287,8784,1.0
6647,2285043.6288786014,8784,1.0
5371,2282558.1365748844,8784,1.0
4360,2279893.7616555323,8784,1.0
5844,2279859.259954871,8784,1.0
5145,2275396.8424017,8784,1.0
5750,2274998.718551246,8784,1.0
8271,2273758.936874176,8784,1.0
3954,2266570.0821739747,8784,1.0
6350,2263320.529904429,8784,1.0
5143,2262047.712394368,8784,1.0
5545,2255014.6381528084,8784,1.0
5347,2249743.967239204,8784,1.0
5470,2249480.3277652967,8784,1.0
6447,2248582.399978369,8784,1.0
5344,2248050.5923219393,8784,1.0
4449,2247736.4337589596,8784,1.0
6458,2239141.434860416,8784,1.0
6457,2234827.8891663244,8784,1.0
5655,2232611.846009471,8784,1.0
6474,2232415.9958499656,8784,1.0
3869,2226456.1418392593,8784,1.0
5445,2211899.854118723,8784,1.0
6871,2207075.580296276,8784,1.0
5553,2198719.159544713,8784,1.0
6664,2190249.312037915,8784,1.0
6763,2185951.5334461494,8784,1.0
5244,2181735.537132861,8784,1.0
5457,2177937.9748015534,8784,1.0
7271,2177744.113242639,8784,1.0
8862,2175117.650840884,8784,1.0
6346,2172853.700517241,8784,1.0
5345,2172041.9187493995,8784,1.0
5173,2167337.1415209416,8784,1.0
5743,2165764.5441320296,8784,1.0
6347,2165474.7452121237,8784,1.0
8874,2158145.18630696,8784,1.0
8775,2157621.4727112614,8784,1.0
6853,2153998.9177365736,8784,1.0
5645,2153552.830333457,8784,1.0
6247,2152376.7859742637,8784,1.0
6246,2151778.4304924286,8784,1.0
6061,2151159.838225658,8784,1.0
3969,2150268.103024821,8784,1.0
8370,2149834.374499141,8784,1.0
4645,2149231.1831172975,8784,1.0
4264,2147445.0258997465,8784,1.0
3858,2146249.2215606417,8784,1.0
8272,2144327.445854383,8784,1.0
6469,2141668.608034223,8784,1.0
5863,2141064.040061869,8784,1.0
6453,2136754.411221716,8784,1.0
5949,2136341.3889935534,8784,1.0
5272,2135383.1776995207,8784,1.0
6071,2134861.120919848,8784,1.0
3963,2133175.2928521563,8784,1.0
4366,2129478.316296375,8784,1.0
4153,2125842.8219920476,8784,1.0
8575,2124238.2772817956,8784,1.0
5554,2121606.893821682,8784,1.0
4054,2119462.0483004376,8784,1.0
5651,2113278.964419461,8784,1.0
5558,2113118.7919818955,8784,1.0
8774,2112116.8754964666,8784,1.0
6448,2108627.282421187,8784,1.0
6561,2106748.6744558797,8784,1.0
6753,2106455.552789522,8784,1.0
6275,2101348.2689239057,8784,1.0
7052,2099144.4009993416,8784,1.0
4951,2099099.683654687,8784,1.0
5552,2098666.4896286866,8784,1.0
6171,2094994.3890587692,8784,1.0
5448,2094237.8486551496,8784,1.0
7166,2093117.7522781685,8784,1.0
4056,2092778.3378981566,8784,1.0
4055,2092216.824225823,8784,1.0
6161,2090949.1698859148,8784,1.0
4965,2083808.047035289,8784,1.0
4950,2080815.8234208878,8784,1.0
6160,2076860.2445913106,8784,1.0
6259,2074951.2917433598,8784,1.0
5273,2074335.2124128093,8784,1.0
4350,2071784.7853530843,8784,1.0
6764,2071462.5757097811,8784,1.0
6874,2068661.2347807582,8784,1.0
6851,2067610.9638388355,8784,1.0
3959,2064222.886657521,8784,1.0
7372,2062600.7970038888,8784,1.0
6177,2056568.0377654932,8784,1.0
6774,2051094.7891341737,8784,1.0
4646,2044589.3536840826,8784,1.0
6468,2043923.4991906297,8784,1.0
4863,2033099.5275136367,8784,1.0
5746,2029115.391232208,8784,1.0
6663,2028812.0088495756,8784,1.0
6657,2027710.1406925418,8784,1.0
6546,2026468.3480956585,8784,1.0
9268,2022736.0576934929,8784,1.0
6152,2021493.7290550333,8784,1.0
3758,2019785.5088053588,8784,1.0
5563,2018232.7946463048,8784,1.0
4947,2017110.7697563816,8784,1.0
8676,2015369.4998384253,8784,1.0
8471,2013322.7375700192,8784,1.0
3855,2012879.7332665655,8784,1.0
4991,2008509.5991211806,8784,1.0
4845,2008238.8639748013,8784,1.0
6277,2006481.312145396,8784,1.0
6951,2003747.1172780616,8784,1.0
6056,2003679.1583971523,8784,1.0
4926,2003186.3658293604,8784,1.0
8576,2000692.835586524,8784,1.0
6564,2000092.4119791458,8784,1.0
5346,1999942.1880004543,8784,1.0
3658,1999845.975919118,8784,1.0
4442,1996708.4956570226,8784,1.0
6757,1996199.4755499046,8784,1.0
7371,1995186.2840056107,8784,1.0
6470,1989751.7633772143,8784,1.0
7063,1987628.087448777,8784,1.0
4062,1982351.6323715597,8784,1.0
5551,1979446.8363963005,8784,1.0
5555,1978224.6178169586,8784,1.0
6258,1975946.0295731323,8784,1.0
6276,1972570.2686748258,8784,1.0
3960,1970393.4651381786,8784,1.0
5557,1967090.142643916,8784,1.0
4058,1964621.9540074898,8784,1.0
6054,1962262.9444040698,8784,1.0
8372,1953450.8582008928,8784,1.0
4745,1953439.0030649065,8784,1.0
4263,1953218.9351630653,8784,1.0
5556,1952535.7591864443,8784,1.0
4057,1945761.1545149751,8784,1.0
6156,1944410.5869593844,8784,1.0
4344,1938320.045451939,8784,1.0
4826,1937075.238201656,8784,1.0
3863,1934393.3276605932,8784,1.0
6568,1932557.3467054782,8784,1.0
5466,1928777.8759991704,8784,1.0
5672,1926399.114914805,8784,1.0
3558,1924668.3156273128,8784,1.0
5446,1924437.4609157387,8784,1.0
3862,1921206.1024628854,8784,1.0
6450,1920355.0849688984,8784,1.0
6353,1920093.9041847978,8784,1.0
5454,1917969.0684349732,8784,1.0
4063,1915506.9629446836,8784,1.0
6272,1915363.0751754218,8784,1.0
6747,1906454.3609958896,8784,1.0
6245,1905983.032254531,8784,1.0
5051,1903724.1984592462,8784,1.0
3854,1902010.1226803146,8784,1.0
6475,1898033.1883077803,8784,1.0
6348,1896591.9086175885,8784,1.0
6569,1886132.6053276854,8784,1.0
7165,1883782.7733232195,8784,1.0
8475,1882968.8801270956,8784,1.0
5463,1881462.9128800444,8784,1.0
8472,1879089.8923295226,8784,1.0
6858,1878066.039439896,8784,1.0
7568,1876387.906472315,8784,1.0
4970,1874626.4174390861,8784,1.0
6558,1869945.5330846012,8784,1.0
6571,1869162.8269224965,8784,1.0
6570,1865578.8997912037,8784,1.0
7472,1864698.5718020077,8784,1.0
4946,1864069.5081824027,8784,1.0
7065,1856927.5959027978,8784,1.0
6952,1851809.1608784175,8784,1.0
5657,1848730.5763375803,8784,1.0
4865,1847750.200402591,8784,1.0
6176,1847073.1763874865,8784,1.0
7471,1845863.9282517158,8784,1.0
6376,1843138.9671784148,8784,1.0
4451,1838563.3438268711,8784,1.0
6758,1838275.0017361017,8784,1.0
5355,1836325.2456482572,8784,1.0
8476,1834416.501024872,8784,1.0
4061,1832007.4718127141,8784,1.0
6972,1831666.3495075013,8784,1.0
6875,1831614.3046454182,8784,1.0
7668,1831537.148680564,8784,1.0
8662,1819769.9206468177,8784,1.0
3659,1819405.172475745,8784,1.0
6857,1816526.4728246813,8784,1.0
4927,1812250.4265612368,8784,1.0
4248,1811292.4917936637,8784,1.0
6077,1809255.4144069615,8784,1.0
4345,1807754.6181851185,8784,1.0
5972,1805044.0822977745,8784,1.0
8474,1803610.9402538459,8784,1.0
8574,1802674.140475661,8784,1.0
5444,1800454.345362674,8784,1.0
3958,1796610.4074672568,8784,1.0
5447,1792505.832540057,8784,1.0
7524,1789806.3001187218,8784,1.0
4249,1789690.2718625793,8784,1.0
5666,1786557.8724167824,8784,1.0
9369,1786067.5845851866,8784,1.0
4443,1785171.3122196575,8784,1.0
6658,1785104.5999231332,8784,1.0
3656,1770536.09098087,8784,1.0
1251,1769493.3367836147,8784,1.0
6462,1767506.2563775193,8784,1.0
6752,1763786.0827042656,8784,1.0
5946,1763624.046804045,8784,1.0
4464,1759003.729102945,8784,1.0
4361,1755751.2737582934,8784,1.0
6362,1755364.7541230326,8784,1.0
3764,1753100.188139288,8784,1.0
5548,1749518.6467093225,8784,1.0
4348,1747668.7285712939,8784,1.0
6575,1745758.0953868434,8784,1.0
6278,1735976.4008766033,8784,1.0
6852,1735324.1142979031,8784,1.0
4343,1733388.4091937651,8784,1.0
6562,1733274.8616938551,8784,1.0
6646,1732553.6446264167,8784,1.0
6566,1732329.0927651885,8784,1.0
7272,1729668.393537274,8784,1.0
6976,1729044.6741568483,8784,1.0
6349,1728620.8765136958,8784,1.0
9367,1726126.229676043,8784,1.0
6178,1725799.5739239652,8784,1.0
8572,1721656.1068017152,8784,1.0
5945,1720923.3312185856,8784,1.0
5471,1718588.3375141132,8784,1.0
8857,1717710.0363931179,8784,1.0
5027,1716766.343874902,8784,1.0
7255,1715104.6304883347,8784,1.0
8473,1711552.4406294662,8784,1.0
7569,1710177.3775073155,8784,1.0
7768,1701862.8556980558,8784,1.0
4448,1701707.1707104524,8784,1.0
6464,1698405.763623785,8784,1.0
6548,1697147.2829391032,8784,1.0
3848,1692942.112723405,8784,1.0
6667,1691018.4859181128,8784,1.0
6850,1687385.0381900696,8784,1.0
5050,1685402.070967517,8784,1.0
6670,1679903.0066713209,8784,1.0
4346,1678238.9482578272,8784,1.0
6367,1677219.6829244685,8784,1.0
4644,1676448.4893116457,8784,1.0
7062,1670647.1796789032,8784,1.0
5065,1662638.1465674355,8784,1.0
6573,1657411.1726687269,8784,1.0
4247,1657034.3962996798,8784,1.0
6472,1654001.4749653055,8784,1.0
5144,1648875.7164468416,8784,1.0
8573,1648860.4037253968,8784,1.0
7468,1647744.94224689,8784,1.0
3864,1646130.5152538551,8784,1.0
7669,1639601.6044066383,8784,1.0
9269,1638018.4307748182,8784,1.0
6756,1637416.4857988174,8784,1.0
6363,1636899.2448565848,8784,1.0
4342,1636816.0997067792,8784,1.0
7061,1636335.980604343,8784,1.0
6253,1628017.6960442541,8784,1.0
3852,1626459.2987382435,8784,1.0
6870,1625657.3801351618,8784,1.0
6971,1624682.3039545326,8784,1.0
6849,1622876.2953280641,8784,1.0
8674,1620994.3247208246,8784,1.0
4353,1619778.9029365664,8784,1.0
6175,1619356.5877809667,8784,1.0
6578,1617043.7856861907,8784,1.0
7989,1617026.9608852116,8784,1.0
6550,1613134.4724965966,8784,1.0
5366,1611917.4484826634,8784,1.0
6958,1609356.739550567,8784,1.0
8090,1608356.6879559783,8784,1.0
4149,1602726.769249843,8784,1.0
6449,1595788.5723543488,8784,1.0
3755,1594211.1071253791,8784,1.0
3853,1585377.9060069344,8784,1.0
6048,1585323.0937483045,8784,1.0
3872,1584191.9305889818,8784,1.0
6365,1584103.5502076305,8784,1.0
3871,1583079.0167918715,8784,1.0
147,1581660.366172051,8784,1.0
7767,1579497.418249037,8784,1.0
6473,1578456.3554076091,8784,1.0
5455,1577829.0964941548,8784,1.0
5572,1577820.3400632534,8784,1.0
3868,1570966.5212512473,8784,1.0
6567,1569034.7045941409,8784,1.0
6751,1565685.34162893,8784,1.0
4250,1565507.462455966,8784,1.0
7155,1558208.209560097,8784,1.0
7868,1555823.4769148098,8784,1.0
7056,1553342.1987331335,8784,1.0
3847,1552754.8288014096,8784,1.0
