date,input_name,input_bytes,md5,raw_rows,chunks,timezone,intervals,squares,missing_internet_fields,missing_square_time_bins,observed_square_time_bins,total_internet_activity,sample_rows_for_memory_comparison,sample_dataframe_bytes_before,sample_dataframe_bytes_after,sample_dataframe_reduction_percent,memory_comparison,largest_projected_chunk_bytes,accumulator_bytes,whole_process_peak_rss_bytes,wall_seconds_including_checksum_and_sample_benchmark,platform,machine,python,numpy,pandas
2013-11-11,sms-call-internet-mi-2013-11-11.txt,351945243,748eee94e1924f95d323f3df1dd6f009,5478993,55,Europe/Rome,144,10000,2745266,115,1439885,107100843.62664711,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,405225472,2.542359041999589,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-12,sms-call-internet-mi-2013-11-12.txt,358347374,e70f999b213bfe38b36c956cf0d1daf4,5597591,56,Europe/Rome,144,10000,2801501,162,1439838,108251658.01694708,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,411959296,2.523555249999845,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-13,sms-call-internet-mi-2013-11-13.txt,362539357,f9d8e9e15d3b0ed82792dd9fb77f1ec2,5689517,57,Europe/Rome,144,10000,2801075,163,1439837,108145473.26579969,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,402702336,2.6955173749993264,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-14,sms-call-internet-mi-2013-11-14.txt,363552765,7b8e81a994c7c3f0d17338e42be76944,5703373,58,Europe/Rome,144,10000,2775943,159,1439841,108833468.13893844,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,400965632,2.5740257910001674,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-15,sms-call-internet-mi-2013-11-15.txt,364814415,51a465a1b72ec28cfa34cd27ecd40cb2,5708802,58,Europe/Rome,144,10000,2784106,165,1439835,106499266.35282288,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,397262848,2.563290916999904,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-16,sms-call-internet-mi-2013-11-16.txt,321048116,f319979979e14164667d7606a3d11c57,4847779,49,Europe/Rome,144,10000,2413402,172,1439828,90387367.09072249,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,412237824,2.274623708000945,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-17,sms-call-internet-mi-2013-11-17.txt,307197776,c66a2d9873ef54812a4a17444cba7451,4611954,47,Europe/Rome,144,10000,2360385,186,1439814,84539767.14681588,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,136069120,3.3887979579994862,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-18,sms-call-internet-mi-2013-11-18.txt,348325345,3455490d465be13d6a107e5982672008,5417835,55,Europe/Rome,144,10000,2693785,174,1439826,103692209.23456666,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,392183808,3.6535298750004586,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-19,sms-call-internet-mi-2013-11-19.txt,356545029,f9d64c99a62e560e754dbe40c0510786,5577668,56,Europe/Rome,144,10000,2753792,161,1439839,106548535.04983376,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,397115392,3.642721666999933,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-20,sms-call-internet-mi-2013-11-20.txt,360144384,ea4904a581e9a829cebf2fdbaf679f25,5643712,57,Europe/Rome,144,10000,2737665,175,1439825,105368563.49077724,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,395689984,3.7201791249990497,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-21,sms-call-internet-mi-2013-11-21.txt,358700264,d2943e3d4f31a5d8f7575796d3b47368,5616011,57,Europe/Rome,144,10000,2687846,147,1439853,105939844.13077544,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,396935168,3.6837170840008184,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-22,sms-call-internet-mi-2013-11-22.txt,360316105,07a02618f46af85618247104bc46e974,5634579,57,Europe/Rome,144,10000,2674252,153,1439847,104045107.02047312,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,405995520,3.720970500000476,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-23,sms-call-internet-mi-2013-11-23.txt,317406788,c0f44412f4d49cd7fa0edfff31ecd887,4779119,48,Europe/Rome,144,10000,2320551,174,1439826,91507584.32361838,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,402096128,3.2950972500002536,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-24,sms-call-internet-mi-2013-11-24.txt,303987293,8bffcfdffdfa73a18c9bcc64bf1de2b5,4548405,46,Europe/Rome,144,10000,2280721,173,1439827,86125739.00276569,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,404504576,3.124429957999382,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-25,sms-call-internet-mi-2013-11-25.txt,345276784,9865c11cbfc3c907f8bce2eaa10f448c,5365586,54,Europe/Rome,144,10000,2637976,183,1439817,100406559.5499732,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,397426688,3.6888138329995854,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-26,sms-call-internet-mi-2013-11-26.txt,352033486,9a878cf4c279094446e5fb8f009f99bc,5491322,55,Europe/Rome,144,10000,2669046,390,1439610,100795850.64391804,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,401375232,3.625773874999141,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-27,sms-call-internet-mi-2013-11-27.txt,349777785,a7d1abf21b6b11aa1725588d16d95c1f,5448926,55,Europe/Rome,144,10000,2588248,253,1439747,100055405.53945424,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,410140672,3.5651678340000217,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-28,sms-call-internet-mi-2013-11-28.txt,350899256,b47f3fa389889b9c804039c75968d85d,5472300,55,Europe/Rome,144,10000,2644106,561,1439439,96851817.36729644,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,401096704,3.9739463750011055,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-29,sms-call-internet-mi-2013-11-29.txt,351607243,4ee896fb8afb2fb1d7569119533d75c0,5482752,55,Europe/Rome,144,10000,2633683,1101,1438899,95207753.80518074,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,399048704,2.576679874997353,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-30,sms-call-internet-mi-2013-11-30.txt,311422116,54ae3a2aeb373d3cbd031ba32dc8e778,4666027,47,Europe/Rome,144,10000,2290727,1225,1438775,84984158.27596872,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,396230656,3.45547658400028,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-01,sms-call-internet-mi-2013-12-01.txt,298715145,785eed3199d70341ad3eb427ab157297,4438331,45,Europe/Rome,144,10000,2239881,1365,1438635,80423162.16999556,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,415088640,2.1333431669991114,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-02,sms-call-internet-mi-2013-12-02.txt,341919663,6ad0d9bc559c22efbfe1bfe33619b393,5320367,54,Europe/Rome,144,10000,2636326,2340,1437660,94357460.88150536,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,388792320,2.3818370000008144,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-03,sms-call-internet-mi-2013-12-03.txt,353947238,a253615038abf0e191a1d3bb03d26aa2,5545148,56,Europe/Rome,144,10000,2708030,2959,1437041,96992185.06980246,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,388726784,2.7652520000010554,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-04,sms-call-internet-mi-2013-12-04.txt,352032545,e4abdf54f50618a0d8fcf2db1cf18817,5501001,56,Europe/Rome,144,10000,2671685,3140,1436860,95454920.46200234,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,409190400,2.5335632499991334,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-05,sms-call-internet-mi-2013-12-05.txt,353519447,42004492d87a1b76a91ad2e6b2e89f52,5523429,56,Europe/Rome,144,10000,2699138,3258,1436742,93902067.81978644,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,399540224,2.44530025000131,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-06,sms-call-internet-mi-2013-12-06.txt,354028475,6a236e67403ced6fa303f603dd0b80e6,5525307,56,Europe/Rome,144,10000,2689682,3406,1436594,93572168.9315622,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,410812416,2.4775213339999027,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-07,sms-call-internet-mi-2013-12-07.txt,307172220,07e1b99c3cea4adf0ce07028ebbff601,4590100,46,Europe/Rome,144,10000,2250099,3615,1436385,80146848.47629736,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,409780224,2.170199042000604,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-08,sms-call-internet-mi-2013-12-08.txt,293663723,aa44fac0820e01a5c0268df7f4547cb0,4357172,44,Europe/Rome,144,10000,2199056,3706,1436294,77734913.85659766,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,393347072,2.0533516659997986,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-09,sms-call-internet-mi-2013-12-09.txt,338963272,dc35aa2f908f60e6fc45663379b57dc8,5252874,53,Europe/Rome,144,10000,2590159,3654,1436346,94087596.6040796,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,409796608,2.398428042000887,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-10,sms-call-internet-mi-2013-12-10.txt,349269739,89f524e4039f111c2b0eec8667b9c33b,5455708,55,Europe/Rome,144,10000,2665269,3562,1436438,99227801.58838148,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,389267456,2.4482926669988956,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-11,sms-call-internet-mi-2013-12-11.txt,351378560,cd7581d7d586c4741866976c5946481b,5483990,55,Europe/Rome,144,10000,2652372,3704,1436296,100530127.43981124,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,410763264,2.4810762080014683,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-12,sms-call-internet-mi-2013-12-12.txt,353930588,79adf11aa1acb2863a44cfbc601a6ba6,5538445,56,Europe/Rome,144,10000,2651898,3637,1436363,100400406.55351712,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,405749760,2.5160662500020408,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-13,sms-call-internet-mi-2013-12-13.txt,351454734,07d9d9b536ad330841c60659e39f09c0,5467246,55,Europe/Rome,144,10000,2662327,3631,1436369,93567801.83117846,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,402997248,2.4759868330002064,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-14,sms-call-internet-mi-2013-12-14.txt,310080286,ad7ab3089c14b110786d86f8a9be4c91,4634809,47,Europe/Rome,144,10000,2283328,3753,1436247,80002733.8910913,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,405241856,2.152658333998261,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-15,sms-call-internet-mi-2013-12-15.txt,296653479,c227bcd0c387de3d88c3b52fff1512ca,4412002,45,Europe/Rome,144,10000,2244691,3815,1436185,76177274.3980437,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,408027136,2.0654002919982304,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-16,sms-call-internet-mi-2013-12-16.txt,342672644,ccd799e2f437f7229fbea070f22c7ea3,5320759,54,Europe/Rome,144,10000,2626411,3623,1436377,88886170.1742672,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,405716992,2.392386333001923,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-17,sms-call-internet-mi-2013-12-17.txt,351108029,0c4d4cafc22cb209e2acb88782438482,5476473,55,Europe/Rome,144,10000,2676244,3455,1436545,91250149.4794181,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,399802368,2.467023209002946,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-18,sms-call-internet-mi-2013-12-18.txt,350956602,cf67bd1a84432cc6b4800488d2c5d166,5472133,55,Europe/Rome,144,10000,2652468,3582,1436418,90273078.2629759,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,389283840,2.457083416997193,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-19,sms-call-internet-mi-2013-12-19.txt,356429243,4dc65086f76e8ec6eb08f9dee4f60586,5572121,56,Europe/Rome,144,10000,2703953,3719,1436281,91505145.41291572,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,393936896,2.571372083002643,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-20,sms-call-internet-mi-2013-12-20.txt,349357045,4b8b24622a83d0a0944155a429411cab,5410674,55,Europe/Rome,144,10000,2649609,4603,1435397,89305124.82367153,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,389218304,2.432425000002695,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-21,sms-call-internet-mi-2013-12-21.txt,313594501,c3acc3d3cf7f946f32b283bfb823af8a,4705979,48,Europe/Rome,144,10000,2328320,4714,1435286,76497159.5467066,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,402849792,2.1831386249978095,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-22,sms-call-internet-mi-2013-12-22.txt,301004169,355c8c198af7e372ba9e3d7b7f01a3b5,4482939,45,Europe/Rome,144,10000,2253572,5015,1434985,70951908.73805596,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,396410880,2.121031041999231,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-23,sms-call-internet-mi-2013-12-23.txt,326617616,1dd238f0b3111d75c9bae8654617db18,4986627,50,Europe/Rome,144,10000,2470079,4752,1435248,76325561.86120948,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,398147584,2.273849999997765,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-24,sms-call-internet-mi-2013-12-24.txt,328653739,6ea08442917409774e451d03ebd98332,5014066,51,Europe/Rome,144,10000,2718362,6658,1433342,68992092.43234544,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,413073408,2.3562831659983203,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-25,sms-call-internet-mi-2013-12-25.txt,324587326,9ad51e1d206b52a54e3d6f95c31e1170,4907775,50,Europe/Rome,144,10000,2868604,6958,1433042,62375851.91198867,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,408584192,2.251098834000004,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-26,sms-call-internet-mi-2013-12-26.txt,281115796,ccca2ca9e50405eca22c508d4df6a57a,4162680,42,Europe/Rome,144,10000,2124665,7065,1432935,59294002.46086686,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,406716416,1.9487767499995243,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-27,sms-call-internet-mi-2013-12-27.txt,303320719,479e93d8b6c442f0dc44085c9984ad30,4547803,46,Europe/Rome,144,10000,2243701,6871,1433129,63414786.616313055,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,407453696,2.133788999999524,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-28,sms-call-internet-mi-2013-12-28.txt,285311365,cd02c07e7c956b0abaee6495cf6fe830,4204331,43,Europe/Rome,144,10000,2101957,6950,1433050,59173327.52308044,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,399015936,1.9916898749979737,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-29,sms-call-internet-mi-2013-12-29.txt,277460259,4d0cd54e39373db049374818174d67b9,4071711,41,Europe/Rome,144,10000,2028672,6943,1433057,55358845.82686933,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,414236672,1.9667359169980043,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-30,sms-call-internet-mi-2013-12-30.txt,300546933,9230d450b47c0aa330fc97253f67810b,4508084,46,Europe/Rome,144,10000,2223444,6876,1433124,60015884.18248933,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,396771328,2.0950537090029684,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-12-31,sms-call-internet-mi-2013-12-31.txt,324184533,a1051476670422b415255f641adbe1e5,4968039,50,Europe/Rome,144,10000,2799850,6884,1433116,56843598.66980437,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,408305664,2.195326874996681,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
